,count
stat.uci.edu,2218
mds.ics.uci.edu,187
ics.uci.edu,29903
statconsulting.ics.uci.edu,78
oai.ics.uci.edu,209
tutoring.ics.uci.edu,200
cs.uci.edu,456
informatics.uci.edu,42605
futurehealth.ics.uci.edu,2269
hpi.ics.uci.edu,310
cml.ics.uci.edu,587
create.ics.uci.edu,214
industryshowcase.ics.uci.edu,242
intranet.ics.uci.edu,84
cs.ics.uci.edu,167
acoi.ics.uci.edu,1643
isg.ics.uci.edu,6515
chenli.ics.uci.edu,154
ds4all.ics.uci.edu,23
cloudberry.ics.uci.edu,1420
asterixdb.ics.uci.edu,4
flamingo.ics.uci.edu,242
psearch.ics.uci.edu,19
hobbes.ics.uci.edu,111
cherry.ics.uci.edu,3
chime.ics.uci.edu,5
ipubmed.ics.uci.edu,13
jujube.ics.uci.edu,9
asterix.ics.uci.edu,47
fr.ics.uci.edu,43
news.nacs.uci.edu,3
tastier.ics.uci.edu,5
dblp.ics.uci.edu,2
cbcl.ics.uci.edu,2
coronavirustwittermap.ics.uci.edu,84
icde2023.ics.uci.edu,2213
mcs.ics.uci.edu,189
code.ics.uci.edu,411
mhcid.ics.uci.edu,487
accessibility.ics.uci.edu,1
mswe.ics.uci.edu,36
tad.ics.uci.edu,5
courselisting.ics.uci.edu,3
mse.ics.uci.edu,200
student-council.ics.uci.edu,1
honors.ics.uci.edu,1
transformativeplay.ics.uci.edu,18
riscit.ics.uci.edu,1
evoke.ics.uci.edu,5
hana.ics.uci.edu,2
luci.ics.uci.edu,20
archive.ics.uci.edu,3499
insite.ics.uci.edu,1
summeracademy.ics.uci.edu,2
archive-beta.ics.uci.edu,75
informatics.ics.uci.edu,54
stairs.ics.uci.edu,11
nalini.ics.uci.edu,132
tippersweb.ics.uci.edu,13
physics.uci.edu,34216
jdsylab.physics.uci.edu,13
theory.physics.uci.edu,1
tutors.ics.uci.edu,1
cert.ics.uci.edu,120
cecs.uci.edu,340
hack.ics.uci.edu,5
jgarcia.ics.uci.edu,1033
sdcl.ics.uci.edu,1
cyberclub.ics.uci.edu,49
malek.ics.uci.edu,4
hai.ics.uci.edu,23
ngs.ics.uci.edu,49000
seraja.ics.uci.edu,1
vision.ics.uci.edu,1756
graphics.ics.uci.edu,21
auge.ics.uci.edu,1
esl.ics.uci.edu,4
mapgrid.ics.uci.edu,2
xtune.ics.uci.edu,15
www-db.ics.uci.edu,266
sherlock.ics.uci.edu,37
mailman.ics.uci.edu,99
newport.eecs.uci.edu,1
kdd.ics.uci.edu,1
sprout.ics.uci.edu,1
dataguard.ics.uci.edu,1
dataprotector.ics.uci.edu,1
dynamo.ics.uci.edu,779
wiki.ics.uci.edu,39482
onboarding.ics.uci.edu,14
support.ics.uci.edu,16
gradinfo.ics.uci.edu,2
checkin.ics.uci.edu,8
biaslab0.ics.uci.edu,2
swiki.ics.uci.edu,41
circinus-14.ics.uci.edu,4
hub.ics.uci.edu,41
netreg.ics.uci.edu,2
observium.ics.uci.edu,18
staging-hub.ics.uci.edu,2
julia-hub.ics.uci.edu,1
helpdesk.ics.uci.edu,5
password.ics.uci.edu,13
e2.ics.uci.edu,1
phpmyadmin.ics.uci.edu,5
pgadmin.ics.uci.edu,2
pastebin.ics.uci.edu,5
speedtest.ics.uci.edu,7
grafana-infra-blue.ics.uci.edu,2
prometheus-infra-blue.ics.uci.edu,2
grafana.ics.uci.edu,2
elms.ics.uci.edu,1
svn.ics.uci.edu,1
instdav.ics.uci.edu,1
containers.ics.uci.edu,3
rstudio-hub.ics.uci.edu,3
kpassword.ics.uci.edu,2
fano.ics.uci.edu,37
tippers.ics.uci.edu,2
edgelab.ics.uci.edu,81
sli.ics.uci.edu,5
graphmod.ics.uci.edu,14
mt-live.ics.uci.edu,1
cgvw.ics.uci.edu,2
capstone.cs.uci.edu,1
mhcis.ics.uci.edu,1
ugradforms.ics.uci.edu,1
unite.ics.uci.edu,236
mdogucu.ics.uci.edu,18
dgillen.ics.uci.edu,469
duttgroup.ics.uci.edu,3317
lolth.ics.uci.edu,1
seal.ics.uci.edu,28
economics.uci.edu,4
