,count
department,5571
statistics,2442
donald,1646
bren,2535
school,3000
information,8443
computer,7287
sciences,2025
explore,1067
chair,1764
welcome,1545
contact,4129
tutoring,347
resources,3831
faculty,5410
directory,1903
job,488
opportunities,2066
research,16200
graduate,6925
degrees,1214
ph,2576
master,1656
data,10568
science,6088
current,4919
course,1778
listings,184
student,7907
internships,157
employment,807
employers,144
uci,14428
students,8637
undergraduate,5651
minor,345
news,6481
seminars,904
seminar,1851
center,2117
statistical,577
consulting,112
launches,17
new,4848
professional,2094
program,3584
20,2763
years,994
uc,4646
irvine,5655
continued,85
grow,135
leader,79
creating,312
methodology,99
use,2971
applications,2671
emphasis,347
theory,1599
interdisciplinary,128
collaborations,79
grown,40
house,83
providing,266
expertise,511
collaborative,258
relationships,198
researchers,1376
across,519
campus,2320
community,3441
one,5348
first,2077
world,1863
offer,183
degree,778
website,641
learn,828
accomplishments,63
become,1233
part,1457
listing,104
academic,1664
positions,467
open,1242
visit,478
recruitment,286
quick,250
links,1576
archive,339
upcoming,364
series,2229
2025,12284
regents,992
feedback,426
privacy,1453
policy,1196
public,1497
year,2524
takes,284
place,698
select,242
thursdays,34
6011,151
hall,1250
unless,228
noted,358
additional,566
please,2423
administrative,1366
coordinator,40
lisa,62
stieler,29
lstieler,22
edu,5511
949,577
824,586
3806,27
past,4218
26,2753
2024,3179
25,2243
2023,3803
24,2801
2022,3833
23,2258
2021,6129
22,2252
2020,3900
21,2668
2019,4878
2018,4288
19,3770
2017,6287
18,4587
2016,4432
17,3567
2015,2397
16,5094
2014,1686
15,6910
2013,1126
14,5798
2012,2073
13,4444
2011,1012
12,5272
2010,1085
11,8039
otherwise,423
take,812
sixth,31
floor,98
conference,2462
room,194
dbh,478
date,2251
speaker,409
title,1555
november,1991
bradley,36
efron,2
stanford,146
university,7075
future,2324
indirect,27
evidence,167
abstract,1092
pdf,1608
slides,784
wesley,39
johnson,152
california,2551
value,513
incorporating,43
scientific,488
input,421
modeling,450
analysis,1419
without,722
much,908
pain,169
pierre,29
baldi,36
final,466
thoughts,833
foundations,397
29,1765
ingeborg,2
waernbaum,2
umea,2
sweden,23
robust,188
estimation,309
causal,194
inference,313
comparing,81
matching,535
covariate,21
score,85
inverse,58
probability,319
weighting,9
doubly,9
december,1963
ken,60
lange,8
los,190
angeles,109
optimization,442
high,1608
dimensions,287
mm,150
algorithims,3
acceleration,84
gpus,28
january,2242
10,12449
roee,3
gutman,2
harvard,98
efficient,927
outcome,49
free,554
procedure,57
interval,93
effect,325
mike,133
daniels,5
florida,44
bayesian,180
methods,819
model,1637
selection,285
incomplete,46
hernando,4
ombao,12
brown,97
dependence,57
network,6212
brain,136
signals,103
27,1617
hedibert,2
lopes,73
chicago,163
parsimonious,3
factor,369
number,2602
factors,219
unknown,134
31,1226
tyler,12
mccormick,4
columbia,98
latent,55
space,3336
models,1379
networks,759
using,3773
aggregated,14
relational,105
february,1912
ying,53
sun,233
texas,118
nonparametric,44
periodic,68
sequence,495
ryan,88
tibshirani,2
solution,574
path,619
generalized,93
lasso,12
march,2147
rubin,16
objective,223
design,2740
trumps,2
april,2124
noon,33
jennifer,27
tom,157
ucla,179
hierarchical,179
massive,93
sequencing,15
datasets,1141
oliver,40
bristol,4
uk,178
entropy,35
based,2888
detection,564
change,1021
points,1644
streaming,113
david,2374
banks,20
duke,59
adversarial,47
risk,164
30,1768
li,1465
zhang,449
cleveland,14
clinic,27
haplotype,7
interactions,352
case,973
control,506
genetic,44
association,380
studies,558
yan,61
yuan,88
alberta,20
health,2487
services,3951
cancer,241
care,539
well,1543
predict,138
measuring,66
prediction,297
performance,660
survival,95
28,2756
vinh,27
nguyen,67
discrete,532
hazard,14
may,5496
kosuke,2
imai,6
princeton,90
item,344
count,174
technique,256
janet,299
sinsheimer,2
genome,123
wide,344
accounted,6
little,221
trait,4
variation,58
ask,224
mom,11
carlos,42
carvalho,2
long,832
run,779
volatility,10
stocks,5
shane,6
jensen,38
pennsylvania,45
spatial,371
fielding,86
major,804
league,16
baseball,20
june,2756
ingram,3
olkin,2
meta,146
history,988
issues,416
combining,165
results,1116
independent,345
october,2104
babak,61
shahbaba,56
relevance,125
determination,50
finding,785
genes,33
matter,1418
dan,116
gillen,206
designing,172
monitoring,545
clinical,198
trials,96
endpoints,75
proposals,130
vladimir,19
minin,38
washington,203
gaussian,36
process,1688
population,138
trajectories,29
gene,185
genealogies,2
adam,89
roy,92
revision,1432
optics,65
inc,184
computational,1858
within,974
orange,147
county,158
biotech,7
experiences,544
alumni,2281
robert,212
rodriguez,19
american,510
business,1107
analytics,333
big,768
statisticians,24
need,1600
succeed,35
stephen,60
fienberg,2
carnegie,33
mellon,30
challenge,305
protection,141
damla,2
senturk,2
effective,280
semiparametric,16
ultra,50
sparse,193
