,count
https://www.stat.uci.edu,250
https://www.stat.uci.edu/seminar-series/seminar-series-archive,186
https://www.stat.uci.edu/seminar-series/seminar-series-2010-2011,612
https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2010-2011/index,0
https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2011-2012/index,0
https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2012-2013/index,0
https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2013-2014/index,0
https://www.stat.uci.edu/seminar-series/seminar-series-2011-2012,473
https://www.stat.uci.edu/seminar-series/seminar-series-2012-2013,491
https://www.stat.uci.edu/seminar-series/seminar-series-2013-2014,622
http://www.stat.uci.edu/seminar-series/seminar-series-2014-2015,567
http://www.stat.uci.edu/seminar-series/seminar-series-2015-2016,600
http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017,390
http://www.stat.uci.edu/seminar-series/seminar-series-2017-2018,799
http://www.stat.uci.edu/seminar-series/seminar-series-2018-2019,501
http://www.stat.uci.edu/wp-content/uploads/JuliaPalaciosAbstract6-6-19,4198
http://www.stat.uci.edu/wp-content/uploads/TianZhengAbstract5-30-19,4586
http://www.stat.uci.edu/wp-content/uploads/StephanMandtAbstract5-16-19,4846
http://www.stat.uci.edu/wp-content/uploads/LorinCrawfordAbstract5-2-19,4998
http://www.stat.uci.edu/wp-content/uploads/XinTongAbstract4-25-19,4572
http://www.stat.uci.edu/seminar-series/seminar-series-2019-2020,468
https://www.stat.uci.edu/seminar-series-2020-2021,786
https://www.stat.uci.edu/seminar-series-2010-2011,612
https://www.stat.uci.edu/seminar-series-2011-2012,473
https://www.stat.uci.edu/seminar-series-2012-2013,491
https://www.stat.uci.edu/seminar-series-2013-2014,622
https://www.stat.uci.edu/seminar-series-2021-2022,810
https://www.stat.uci.edu/wp-content/uploads/Shujie-Ma-Abstract-5-5-22,4399
https://www.stat.uci.edu/seminar-series-2022-2023,632
https://www.stat.uci.edu/seminar-series/seminar-series-2023-2024,697
https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025,776
https://www.stat.uci.edu/seminar-series/seminar-series-2025-2026,209
https://ics.uci.edu/event/uc-irvine-statistics-state-of-the-department-2025,634
https://ics.uci.edu/accessibility-statement,781
